Date,AMZN,BA,DIS,IBM,KO,MSFT
2015-01-14,293.27,115.21,88.9,128.53,36.98,41.54
2015-01-15,286.95,115.0,89.01,127.51,36.83,41.11
2015-01-16,290.74,115.56,89.79,129.63,36.96,41.79
2015-01-20,289.44,115.95,89.38,129.47,37.5,41.93
2015-01-21,297.25,117.01,88.84,125.47,37.68,41.5
2015-01-22,310.32,119.86,89.76,128.19,38.04,42.6
2015-01-23,312.39,118.96,89.36,128.58,37.63,42.64
2015-01-26,309.66,118.47,89.6,128.99,37.36,42.49
2015-01-27,306.75,117.07,88.65,126.77,36.83,38.56
2015-01-28,303.91,123.39,87.43,125.02,36.43,37.23
2015-01-29,311.78,130.59,87.94,128.26,36.58,37.97
2015-01-30,354.53,128.46,85.81,126.47,35.77,36.51
2015-02-02,364.47,129.24,86.73,127.59,36.14,37.31
2015-02-03,363.55,130.2,88.77,130.73,36.17,37.6
2015-02-04,364.75,130.09,95.55,129.48,36.22,37.82
2015-02-05,373.89,131.31,96.83,130.27,36.31,38.37
2015-02-06,374.28,130.78,96.25,130.19,36.02,38.33
2015-02-09,370.56,130.41,95.97,129.39,35.83,38.29
2015-02-10,373.0,130.82,96.15,131.72,36.84,38.5
2015-02-11,375.14,131.52,96.1,131.42,36.82,38.3
2015-02-12,377.17,131.67,97.72,131.69,36.64,38.95
2015-02-13,381.83,133.13,98.27,133.25,36.49,39.65
2015-02-17,375.43,133.3,98.23,133.71,36.33,39.67
2015-02-18,373.37,134.41,97.98,134.74,36.26,39.62
2015-02-19,379.0,136.7,98.01,136.15,36.59,39.6
2015-02-20,383.66,140.76,98.63,135.95,36.47,39.92
2015-02-23,380.14,137.58,99.05,135.33,36.37,40.19
2015-02-24,378.59,137.26,98.75,136.93,36.61,40.13
2015-02-25,385.37,136.04,99.6,135.25,36.54,40.04
2015-02-26,384.8,134.91,98.64,133.64,36.9,40.11
2015-02-27,380.16,134.12,98.19,134.53,37.63,39.91
2015-03-02,385.66,136.75,99.9,133.32,37.54,39.94
2015-03-03,384.61,138.32,100.33,133.77,37.32,39.4
2015-03-04,382.72,137.24,99.6,132.44,36.93,39.2
2015-03-05,387.83,137.34,99.09,133.9,36.84,39.24
2015-03-06,380.09,136.14,97.94,131.67,36.08,38.56
2015-03-09,378.56,137.59,99.3,133.56,35.97,39.0
2015-03-10,369.51,135.52,97.26,131.1,35.36,38.26
2015-03-11,366.37,134.41,97.07,130.26,34.84,38.21
2015-03-12,374.24,135.18,101.1,131.24,35.55,37.34
2015-03-13,370.58,134.76,100.42,128.17,34.97,37.67
2015-03-16,373.35,136.63,101.29,130.49,35.3,37.83
2015-03-17,371.92,137.38,100.91,130.39,35.49,37.96
2015-03-18,375.14,138.46,101.86,132.76,35.57,38.69
2015-03-19,373.24,137.02,101.29,132.76,35.06,38.49
2015-03-20,378.49,137.37,102.29,135.31,35.62,39.03
2015-03-23,375.11,135.87,102.1,136.76,35.59,39.01
2015-03-24,374.09,134.84,101.05,135.41,35.46,39.05
2015-03-25,370.96,131.79,99.06,132.25,35.44,37.74
2015-03-26,367.35,131.74,99.28,133.41,35.35,37.51
2015-03-27,370.56,132.35,99.51,133.25,35.12,37.29
2015-03-30,374.59,135.77,100.11,135.13,35.49,37.28
2015-03-31,372.1,133.44,98.95,133.33,35.53,37.01
2015-04-01,370.26,132.16,99.47,132.24,35.64,37.07
2015-04-02,372.25,132.73,100.0,133.29,35.64,36.67
2015-04-06,377.04,134.2,99.65,134.61,36.07,37.82
2015-04-07,374.41,135.43,99.46,134.64,35.93,37.8
2015-04-08,381.2,136.36,100.34,134.45,35.83,37.7
2015-04-09,383.54,136.41,100.73,134.86,35.97,37.76
2015-04-10,382.65,137.26,100.9,135.29,35.82,37.98
2015-04-13,382.36,136.25,100.48,134.89,35.66,38.01
2015-04-14,385.11,136.22,100.62,134.83,35.49,37.91
2015-04-15,383.45,135.53,100.93,136.35,35.4,38.47
2015-04-16,386.04,135.12,101.98,135.52,35.57,38.38
2015-04-17,375.56,133.01,100.65,133.47,35.31,37.88
2015-04-20,389.51,135.74,102.1,138.03,35.62,39.06
2015-04-21,391.18,136.33,101.59,136.46,35.73,38.81
